"81.21 Akteaanduiding","81.22 Omschrijving"
"1•A","Geboorte"
"1•B","Erkenning bij de geboorteaangifte"
"1•C","Erkenning na de geboorteaangifte"
"1•D","Erkenning van een ongeboren vrucht"
"1•E","Ontkenning ouderschap (rechterlijke uitspraak)"
"1•F","Ontkenning ouderschap door ouder uit wie het kind is geboren, tevens erkenning"
"1•G","Vaststelling van de geslachtsnaam/voornamen bij koninklijk besluit"
"1•H","Wijziging van de geslachtsnaam bij koninklijk besluit"
"1•I","Verlening van brieven van wettiging"
"1•J","Notariële akte van erkenning"
"1•K","Verbetering/doorhaling van een akte op last van de rechter"
"1•L","Inschrijving van een ontbrekende akte (rechterlijke uitspraak)"
"1•M","Voornaamswijziging (rechterlijke uitspraak)"
"1•N","Vernietiging van een erkenning (rechterlijke uitspraak)"
"1•O","Inschrijving van een akte ex artikel 19e, lid 5, boek 1 BW"
"1•P","Gegrondverklaring betwisting van staat (rechterlijke uitspraak)"
"1•Q","Adoptie (rechterlijke uitspraak)"
"1•R","Herroeping van een adoptie (rechterlijke uitspraak)"
"1•S","Aktewijziging in verband met transseksualiteit"
"1•T","Inschrijving declaratoire uitspraak, niet genoemd in artikel 24, boek 1 BW"
"1•U","Verklaring ontkenning ouderschap ex artikel 199, onder b, boek 1 BW"
"1•V","Gerechtelijke vaststelling van het ouderschap"
"1•W","Naamskeuze"
"1•X","Wijziging geslachtsnaam ex art. 253t of 282, boek 1 BW (rechterlijke uitspraak)"
"2•A","Overlijden"
"2•B","Geboorte (levenloos)"
"2•C","Vaststelling van een overlijden"
"2•D","Verbetering/doorhaling van een akte op last van de rechter"
"2•E","Inschrijving van een ontbrekende akte (rechterlijke uitspraak)"
"2•F","Vermoedelijk overlijden"
"2•G","Lijkvinding"
"3•A","Huwelijk"
"3•B","Echtscheiding/huwelijksontbinding na scheiding van tafel en bed"
"3•C","Nietigverklaring van een huwelijk (rechterlijke uitspraak)"
"3•D","Verbetering/doorhaling van een huwelijksakte op last van de rechter"
"3•E","Inschrijving van een ontbrekende huwelijksakte (rechterlijke uitspraak)"
"3•F","Vernietiging nietigverklaring etc. huwelijk (rechterlijke uitspraak)"
"3•G","Inschrijving van een ontbrekende echtscheidingsakte (rechterlijke uitspraak)"
"3•H","Omzetting geregistreerd partnerschap in huwelijk"
"5•A","Geregistreerd partnerschap"
"5•B","Beëindiging geregistreerd partnerschap door overeenkomst of ontbinding"
"5•C","Nietigverklaring geregistreerd partnerschap"
"5•D","Verbetering/doorhaling akte geregistreerd partnerschap (rechterlijke uitspraak)"
"5•E","Inschrijving ontbrekende akte gereg. partnerschap (rechterlijke uitspraak)"
"5•F","Vernietiging nietigverklaring etc. gereg. partnerschap (rechterlijke uitspraak)"
"5•G","Inschrijving ontbrekende akte ontbinding geregistreerd partnerschap"
"5•H","Omzetting huwelijk in geregistreerd partnerschap"
