"93.10 Afnemersaanduiding","93.11 Omschrijving"
"Advent","Nederlandse Vereniging van Zevendedags Adventisten"
"AMF","Algemeen Mijnwerkersfonds van de Steenkolenmijnen in Limburg"
"AngEpisc","Gemeente der Anglicaanse Episcopale Kerk"
"Anthrop V","Anthroposofische Vereniging in Nederland"
"Ap","Apostolische Gemeente"
"ApGen","Apostolisch Genootschap"
"Bapt","Baptisten"
"BP","Buitengewone Pensioenraad"
"BV01","Agrarisch Bedrijf"
"BV02","Zuivelindustrie"
"BV03","Bouwnijverheid"
"BV04","Hout- en meubelindustrie"
"BV05","Textielindustrie"
"BV06","Kledingindustrie"
"BV07","Leder- en lederverwerkende industrie"
"BV08","Grafische industrie"
"BV09","Steen-, cement-, glas- en keramische industrie"
"BV10","Metaalindustrie en elektrotechnische industrie"
"BV11","Kleinmetaalnijverheid"
"BV12","Mijnindustrie"
"BV13","Chemische industrie"
"BV14","Tabakverwerkende industrie"
"BV15","Meelverwerkend bedrijf, alsmede suikerverwerkende en cacaoverwerkende industrie"
"BV16","Slagers- en vleeswarenbedrijf"
"BV17","Voedings- en genotmiddelenindustrie"
"BV18","Detailhandel en ambachten"
"BV19","Haven- en aanverwante bedrijven, binnenscheepvaart en visserij"
"BV20","Koopvaardij"
"BV21","Vervoer"
"BV22","Hotel-, restaurant- en cafébedrijf, pensioenbedrijf en aanverwante bedrijven"
"BV23","Gezondheid, geestelijke en maatschappelijke belangen"
"BV24","Overheidsdiensten"
"BV25","Bank- en verzekeringswezen, groothandel en vrije beroepen"
"BV26","Overige takken van bedrijf en beroep"
"BV50","Gemeenschappelijke Administratiekantoor (GAK)"
"BV68","Bedrijfsvereniging voor de Detailhandel, Ambachten en Huisvrouwen"
"BV73","Bedrijfsvereniging voor de Gezondheid, Geestelijke en Maatschappelijke Belangen"
"BZ","Ministerie van Binnenlandse Zaken, Hoofdafdeling Pensioenen en Wachtgelden"
"ChGemRV","Christengemeenschap Beweging tot Religieuze Vernieuwing"
"ChrAfg","Christelijk Afgescheiden Gemeente"
"ChrEv","Christelijk Evangelische Gemeente"
"ChrGer","Christelijke Gereformeerde Kerken"
"ChrGerGem","Christelijke Gereformeerde Gemeente"
"ChrSc","Christian Science"
"D","Kanselarij der Nederlandse Orden"
"DEv","Duits-Evangelische Gemeente"
"DG","Doopsgezinde Gemeente"
"DPL","Ministerie van Defensie, Directie Dienstplichtzaken"
