"97.10 Code GBA-deelnemer","97.11 Omschrijving","97.12 Aanduiding aangesloten op het GBA-netwerk","99.98 Datum ingang","99.99 Datum einde"
"000301","Gemeente Appingedam/Burgerzakentaken","1","20180725","",""
"000501","Gemeente Bedum/Burgerzakentaken","1","20180725","20190101",""
"000701","Gemeente Bellingwedde","1","19940701","20180101",""
"000901","Gemeente Ten Boer/Burgerzakentaken","1","20180725","20190101",""
"001001","Gemeente Delfzijl/Burgerzakentaken","1","20180725","",""
"001401","Gemeente Groningen/Burgerzakentaken","1","20180725","",""
"001403","Gemeente Groningen via MijnOverheid/Verhuisvoorziening","0","20180201","",""
"001501","Gemeente Grootegast/Burgerzakentaken","1","20180725","20190101",""
"001701","Gemeente Haren/Burgerzakentaken","1","20180725","20190101",""
"001801","Gemeente Hoogezand-Sappemeer","1","19940901","20180101",""
"002201","Gemeente Leek/Burgerzakentaken","1","20180725","20190101",""
"002401","Gemeente Loppersum/Burgerzakentaken","1","20180725","",""
"002501","Gemeente Marum/Burgerzakentaken","1","20180725","20190101",""
"003401","Gemeente Almere/Burgerzakentaken","1","20180701","",""
"003701","Gemeente Stadskanaal/Burgerzakentaken","1","20180701","",""
"003901","Gemeente Scheemda","1","19940701","20100101",""
"004001","Gemeente Slochteren","1","19940215","20180101",""
"004701","Gemeente Veendam/Burgerzakentaken","1","20180701","",""
"004801","Gemeente Vlagtwedde","1","19940901","20180101",""
"005001","Gemeente Zeewolde/Burgerzakentaken","1","20180701","",""
"005101","Gemeente Skarsterlân","1","19940601","20140101",""
"005201","Gemeente Winschoten","1","19940301","20100101",""
"005301","Gemeente Winsum/Burgerzakentaken","1","20180725","20190101",""
"005501","Gemeente Boarnsterhim","1","19940715","20140101",""
"005601","Gemeente Zuidhorn/Burgerzakentaken","1","20180725","20190101",""
"005801","Gemeente Dongeradeel/Burgerzakentaken","1","20180701","20190101",""
"005901","Gemeente Achtkarspelen/Burgerzakentaken","1","20180701","",""
"006001","Gemeente Ameland/Burgerzakentaken","1","20180701","",""
"006301","Gemeente het Bildt","1","19940815","20180101",""
"006401","Gemeente Bolsward","1","19940401","20110101",""
"006501","Gemeente Dantumadeel","1","19940915","20090101",""
"006801","Gemeente Ferwerderadeel","1","19940215","19990101",""
"007001","Gemeente Franekeradeel","1","19940515","20180101",""
"007201","Gemeente Harlingen/Burgerzakentaken","1","20180701","",""
"007401","Gemeente Heerenveen/Burgerzakentaken","1","20180701","",""
"007901","Gemeente Kollumerland en Nieuwkruisland/Burgerzakentaken","1","20180701","20190101",""
"008001","Gemeente Leeuwarden/Burgerzakentaken","1","20180701","",""
"008003","Gemeente Leeuwarden via MijnOverheid/Verhuisvoorziening","0","20180501","",""
"008101","Gemeente Leeuwarderadeel","1","19940701","20180101",""
"008201","Gemeente Lemsterland","1","19940401","20140101",""
"008301","Gemeente Menaldumadeel","1","19940215","20110101",""
"008501","Gemeente Ooststellingwerf/Burgerzakentaken","1","20180725","",""
"008601","Gemeente Opsterland/Burgerzakentaken","1","20180701","",""
"008801","Gemeente Schiermonnikoog/Burgerzakentaken","1","20180701","",""
"009001","Gemeente Smallingerland/Burgerzakentaken","1","20180701","",""
"009101","Gemeente Sneek","1","19940701","20110101",""
